0,1119,2
0,1171,8
0,1364,1
0,3865,1
1,1007,6
1,1515,10
1,3559,6
2,395,7
2,1539,5
2,1633,1
2,2474,8
2,2804,5
3,613,9
3,2170,1
3,2258,7
3,2715,10
3,2910,3
3,2953,9
4,3599,4
4,3871,5
5,1880,8
5,3004,8
6,34,6
6,686,3
6,1535,9
6,1780,9
6,3379,7
7,1207,10
7,1242,8
7,2267,2
7,2491,1
7,2631,9
7,3235,3
8,330,5
8,929,5
8,1231,2
8,1328,9
8,1420,6
8,1703,9
8,2677,2
8,3410,4
9,98,2
9,2201,10
9,3612,10
10,438,4
10,914,3
10,988,9
10,2537,1
11,126,4
11,330,4
11,507,6
11,989,7
11,1658,4
11,2464,6
11,2740,3
11,3161,10
12,774,1
12,2156,9
12,3815,7
13,204,4
13,1029,9
13,1486,2
13,2747,3
13,2907,1
13,3683,6
13,3985,5
14,8,10
14,153,1
14,206,3
14,2434,6
14,3295,2
15,1436,6
15,3115,3
15,3678,6
15,3711,7
16,269,9
16,308,10
16,1571,3
16,2383,1
16,2390,2
16,3975,4
17,1105,4
17,2260,5
18,70,4
18,230,9
18,795,9
18,998,10
18,2367,6
18,3000,4
19,73,4
19,2171,6
19,2262,10
19,2836,6
19,3038,8
20,301,10
20,2038,4
21,445,8
21,757,2
21,1020,9
21,1263,1
21,1651,1
21,2583,10
21,2626,4
22,841,1
22,1114,2
22,2165,7
22,3299,4
22,3567,7
23,4,3
23,69,6
23,557,5
23,956,3
23,3451,6
23,3666,10
24,505,10
24,584,3
24,2081,2
24,2412,5
24,3671,2
25,147,8
25,2240,6
25,3841,1
25,3966,8
26,2298,1
26,3318,2
26,3693,4
27,355,8
27,1115,5
27,1952,6
27,2442,5
27,2911,9
27,3355,10
27,3698,9
28,530,9
28,1213,10
28,1345,7
28,1713,5
28,2984,5
28,3355,5
28,3691,2
28,3945,9
29,2006,7
29,2732,1
29,3603,9
30,533,6
30,1274,4
30,1867,5
30,2074,3
30,2087,7
30,2118,1
30,2172,4
30,3016,1
31,22,3
31,438,10
31,3839,9
